iso3_a,iso3_b,km
AFG,CHN,91
AFG,IRN,921
AFG,PAK,2670
AFG,TJK,1357
AFG,TKM,804
AFG,UZB,144
AGO,COD,2646
AGO,COG,231
AGO,NAM,1427
AGO,ZMB,1065
ALB,GRC,212
ALB,MKD,181
ALB,MNE,186
ALB,XKX,112
AND,ESP,63
AND,FRA,55
ARE,OMN,609
ARE,SAU,457
ARG,BOL,942
ARG,BRA,1263
ARG,CHL,6691
ARG,PRY,2531
ARG,URY,541
ARM,AZE,996
ARM,GEO,219
ARM,IRN,44
ARM,TUR,311
AUT,CHE,158
AUT,CZE,402
AUT,DEU,801
AUT,HUN,321
AUT,ITA,404
AUT,SVK,105
AUT,SVN,299
AZE,GEO,428
AZE,IRN,689
AZE,RUS,338
AZE,TUR,17
BDI,COD,236
BDI,RWA,315
BDI,TZA,589
BEL,DEU,133
BEL,FRA,556
BEL,LUX,130
BEL,NLD,478
BEN,BFA,386
BEN,NER,277
BEN,NGA,809
BEN,TGO,651
BFA,CIV,545
BFA,GHA,602
BFA,MLI,1325
BFA,NER,622
BFA,TGO,131
BGD,IND,4142
BGD,MMR,271
BGR,GRC,472
BGR,MKD,162
BGR,ROU,605
BGR,SRB,344
BGR,TUR,223
BIH,HRV,956
BIH,MNE,242
BIH,SRB,345
BLR,LTU,640
BLR,LVA,161
BLR,POL,375
BLR,RUS,1312
BLR,UKR,1111
BLZ,GTM,266
BLZ,MEX,276
BOL,BRA,3403
BOL,CHL,942
BOL,PER,1212
BOL,PRY,753
BRA,COL,1790
BRA,FRA,649
BRA,GUY,1308
BRA,PER,2659
BRA,PRY,1371
BRA,SUR,515
BRA,URY,1050
BRA,VEN,2137
BRN,MYS,266
BTN,CHN,477
BTN,IND,659
BWA,NAM,1544
BWA,ZAF,1969
BWA,ZMB,0
BWA,ZWE,834
CAF,CMR,901
CAF,COD,1747
CAF,COG,487
CAF,SDN,174
CAF,SSD,1055
CAF,TCD,1556
CAN,DNK,1
CAN,USA,8891
CHE,DEU,348
CHE,FRA,525
CHE,ITA,698
CHL,PER,168
CHN,IND,2659
CHN,KAZ,1765
CHN,KGZ,1063
CHN,LAO,475
CHN,MMR,2129
CHN,MNG,4630
CHN,NPL,1389
CHN,PAK,438
CHN,PRK,1352
CHN,RUS,4133
CHN,TJK,477
CHN,VNM,1297
CIV,GHA,720
CIV,GIN,816
CIV,LBR,778
CIV,MLI,599
CMR,COG,494
CMR,GAB,349
CMR,GNQ,183
CMR,NGA,1975
CMR,TCD,1116
COD,COG,1775
COD,RWA,221
COD,SSD,714
COD,TZA,479
COD,UGA,877
COD,ZMB,2332
COG,GAB,2567
COL,ECU,708
COL,PAN,339
COL,PER,1494
COL,VEN,2341
CRI,NIC,313
CRI,PAN,348
CZE,DEU,704
CZE,POL,699
CZE,SVK,241
DEU,DNK,140
DEU,FRA,418
DEU,LUX,128
DEU,NLD,575
DEU,POL,467
DJI,ERI,125
DJI,ETH,342
DJI,SOM,61
DOM,HTI,376
DZA,LBY,989
DZA,MAR,1941
DZA,MLI,1359
DZA,MRT,460
DZA,NER,951
DZA,TUN,1034
ECU,PER,1529
EGY,ISR,208
EGY,LBY,1115
EGY,SDN,1276
ERI,ETH,1033
ERI,SDN,682
ESP,FRA,646
ESP,MAR,8
ESP,PRT,1224
EST,LVA,333
EST,RUS,324
ETH,KEN,867
ETH,SDN,744
ETH,SOM,1640
ETH,SSD,1299
FIN,NOR,709
FIN,RUS,1309
FIN,SWE,545
FRA,ITA,476
FRA,LUX,69
FRA,SUR,556
GAB,GNQ,345
GBR,IRL,499
GEO,RUS,894
GEO,TUR,273
GHA,TGO,1098
GIN,GNB,421
GIN,LBR,590
GIN,MLI,1062
GIN,SEN,363
GIN,SLE,794
GMB,SEN,749
GNB,SEN,341
GRC,MKD,234
GRC,TUR,192
GTM,HND,244
GTM,MEX,958
GTM,SLV,199
GUY,SUR,836
GUY,VEN,789
HND,NIC,940
HND,SLV,391
HRV,HUN,348
HRV,MNE,19
HRV,SRB,314
HRV,SVN,600
HUN,ROU,424
HUN,SRB,164
HUN,SVK,627
HUN,SVN,94
HUN,UKR,128
IDN,MYS,1881
IDN,PNG,824
IDN,TLS,253
IND,MMR,1468
IND,NPL,1770
IND,PAK,3190
IRN,IRQ,1599
IRN,PAK,959
IRN,TKM,1148
IRN,TUR,534
IRQ,JOR,179
IRQ,KWT,254
IRQ,SAU,811
IRQ,SYR,599
IRQ,TUR,367
ISR,JOR,327
ISR,LBN,81
ISR,SYR,83
ITA,SVN,218
JOR,SAU,731
JOR,SYR,379
KAZ,KGZ,1212
KAZ,RUS,7644
KAZ,TKM,413
KAZ,UZB,2330
KEN,SOM,684
KEN,SSD,317
KEN,TZA,775
KEN,UGA,814
KGZ,TJK,984
KGZ,UZB,1314
KHM,LAO,555
KHM,THA,817
KHM,VNM,1158
KOR,PRK,237
KWT,SAU,221
LAO,MMR,238
LAO,THA,1845
LAO,VNM,2161
LBN,SYR,403
LBR,SLE,299
LBY,NER,342
LBY,SDN,382
LBY,TCD,1050
LBY,TUN,461
LSO,ZAF,1106
LTU,LVA,544
LTU,POL,100
LTU,RUS,261
LVA,RUS,332
MAR,MRT,1564
MDA,ROU,683
MDA,UKR,1202
MEX,USA,3155
MKD,SRB,101
MKD,XKX,160
MLI,MRT,2236
MLI,NER,838
MLI,SEN,489
MMR,THA,2416
MNE,SRB,157
MNE,XKX,76
MNG,RUS,3452
MOZ,MWI,1498
MOZ,SWZ,108
MOZ,TZA,840
MOZ,ZAF,496
MOZ,ZMB,439
MOZ,ZWE,1402
MRT,SEN,742
MWI,TZA,512
MWI,ZMB,847
MYS,THA,595
NAM,ZAF,1005
NAM,ZMB,244
NER,NGA,1608
NER,TCD,1196
NGA,TCD,85
NOR,RUS,191
NOR,SWE,1666
OMN,SAU,658
OMN,YEM,294
POL,RUS,209
POL,SVK,517
POL,UKR,498
PRK,RUS,18
QAT,SAU,87
ROU,SRB,531
ROU,UKR,601
RUS,UKR,1944
RWA,TZA,222
RWA,UGA,172
SAU,YEM,1307
SDN,SSD,2158
SDN,TCD,1403
SRB,XKX,366
SSD,UGA,475
SVK,UKR,97
SWZ,ZAF,438
SYR,TUR,899
TJK,UZB,1312
TKM,UZB,1793
TZA,UGA,391
TZA,ZMB,353
ZAF,ZWE,230
ZMB,ZWE,763
